track_name,artist_name,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_mins
Hold On,Pink Chanel Dior,127058,30/11/19,36,0.813,0.607,7,-6.601,0,0.0558,0.202,0,0.244,0.715,136.023,2.117633333
"Bad Boy (with Wiz Khalifa, bbno$, MAX)",Yung Bae,140208,29/5/20,53,0.849,0.718,6,-5.324,0,0.123,0.0187,0,0.0736,0.694,117.996,2.3368
Bad Habits,J Swey,143451,20/11/20,29,0.758,0.637,11,-7.324,1,0.24,0.000117,1.45E-05,0.101,0.259,173.976,2.39085
Something New (feat. Ty Dolla $ign),Wiz Khalifa,200773,13/7/18,65,0.814,0.635,7,-6.609,0,0.0809,0.0935,0,0.0892,0.784,87.581,3.346216667
Fuck Off,3irty,204042,30/1/20,10,0.605,0.733,5,-5.007,1,0.0692,0.265,0,0.0875,0.342,160.12,3.4007
Washing My Brain,DARKMARK,146128,23/10/20,14,0.846,0.692,1,-6.089,1,0.0808,0.529,0,0.18,0.661,115.051,2.435466667
Broken Hearts,Henny Seear,183250,25/9/20,9,0.855,0.615,4,-5.783,1,0.128,0.354,0,0.3,0.504,110.026,3.054166667
Cars That Go Boom,L'Trimm,234962,20/11/15,51,0.953,0.536,1,-9.935,1,0.203,0.0161,1.74E-05,0.103,0.305,119.903,3.916033333
HAHA,Lil Darkie,160000,12/10/19,71,0.714,0.82,1,-1.102,1,0.444,0.34,0,0.0801,0.904,78.032,2.666666667
Let Go,Ron Grams,159936,13/10/20,44,0.894,0.606,5,-8.979,0,0.282,0.0133,0,0.0623,0.538,102.004,2.6656
Supalonely,BENEE,223480,15/11/19,79,0.863,0.631,7,-4.689,1,0.0534,0.305,3.04E-05,0.123,0.817,128.977,3.724666667
sometimes i don't wanna be happy,omgkirby,79476,24/7/20,33,0.787,0.449,2,-7.559,1,0.0821,0.959,0.00931,0.216,0.641,85.974,1.3246
Door Dash,Lil Perfect,179142,24/7/20,14,0.195,0.37,7,-7.797,1,0.0735,0.129,0,0.112,0.165,139.901,2.9857
Pacific,Behind The Frames,179478,9/4/21,34,0.243,0.441,7,-9.673,0,0.193,0.0365,0,0.103,0.359,115.016,2.9913
State of Mind,Jiaani,156917,17/9/20,35,0.295,0.412,3,-12.723,0,0.0922,0.238,0,0.0784,0.954,83.046,2.615283333
What If (I Told You I Like You),Johnny Orlando,219186,18/5/18,71,0.663,0.584,1,-5.047,1,0.14,0.189,0,0.125,0.395,93.016,3.6531
Figure It Out,Blu DeTiger,164317,17/4/20,62,0.68,0.554,8,-6.154,0,0.289,0.493,0.000425,0.332,0.585,96.988,2.738616667
"King's Dead (with Kendrick Lamar, Future & James Blake)",Jay Rock,229670,12/1/18,72,0.665,0.705,1,-5.008,1,0.299,0.000813,0,0.128,0.376,137.133,3.827833333
Straight Drop,Mazen,156578,16/12/20,28,0.268,0.595,10,-8.399,0,0.291,0.146,0.00131,0.0836,0.782,76.988,2.609633333
Oceans,Jay Hoodie,173469,30/10/20,26,0.319,0.419,9,-10.859,1,0.0948,0.469,0,0.334,0.198,91.487,2.89115
Nonstop,Drake,238614,29/6/18,78,0.683,0.412,7,-8.074,1,0.123,0.0165,0.0126,0.104,0.423,154.983,3.9769
Over,Blanco,159399,12/2/21,54,0.581,0.576,1,-6.385,1,0.0818,0.0608,0,0.0947,0.285,90.546,2.65665
Hold Steady,OpenSoul,202666,30/10/20,25,0.334,0.441,5,-10.139,1,0.146,0.607,0,0.118,0.444,88.303,3.377766667
Don Dada,Yungeen Ace,125102,26/6/20,41,0.493,0.731,4,-3.127,0,0.0829,0.586,0,0.0984,0.402,170.009,2.085033333
Ashina,T H R O N E,90163,14/9/20,7,0.1,0.657,0,-7.297,1,0.336,0.371,0,0.785,0.635,160.067,1.502716667
Money Honey,Rico Pressley,225882,30/10/20,14,0.058,0.531,5,-6.189,1,0.101,0.29,0,0.0886,0.816,119.035,3.7647
Bussin,Tay Money,97297,6/12/19,63,0.614,0.519,0,-9.02,0,0.208,0.45,0,0.0884,0.752,148.087,1.621616667
Myron,Lil Uzi Vert,224954,13/3/20,77,0.821,0.654,8,-6.976,0,0.298,0.055,0,0.214,0.573,155.047,3.749233333
Rock,Gritty Lex,155200,25/9/20,11,0.176,0.522,9,-8.612,1,0.0858,0.14,9.08E-05,0.224,0.502,150.051,2.586666667
No Idea,Don Toliver,154424,29/5/19,5,0.038,0.631,6,-5.717,0,0.0896,0.519,0.000579,0.165,0.35,127.994,2.573733333
Toosie Slide,Drake,247058,3/4/20,80,0.889,0.454,1,-9.75,0,0.201,0.321,6.15E-06,0.114,0.837,81.618,4.117633333
Canary Wharf,Roundrobin,174721,10/7/20,32,0.388,0.347,9,-11.938,1,0.0451,0.388,0,0.0897,0.0965,101.943,2.912016667
Never Change,Dustystaytrue,154801,21/5/20,64,0.64,0.614,10,-8.89,1,0.358,0.0323,0,0.0723,0.456,173.934,2.580016667
Be Happy,Dixie,198965,26/6/20,3,-0.046,0.658,0,-4.94,1,0.12,0.209,0,0.262,0.599,86.985,3.316083333
Type Shit!,EGOVERT,163699,8/11/20,26,0.165,0.45,1,-7.451,1,0.497,0.0239,0,0.0762,0.398,172.767,2.728316667
Loading,Lil Sil,126520,30/10/20,43,0.413,0.484,4,-9.775,1,0.119,0.173,0,0.108,0.499,157.868,2.108666667
Late out,Gritty Lex,133818,25/9/20,9,0.062,0.489,6,-12.076,1,0.0868,0.0805,0.00579,0.164,0.459,82.486,2.2303
ANGELS & DEMONS,jxdn,160119,19/5/20,74,0.724,0.8,8,-3.936,1,0.0395,0.119,0,0.629,0.463,115.056,2.66865
You Think You're,Alex Aster,168247,17/11/20,28,0.247,0.652,1,-4.958,1,0.0658,0.461,0,0.388,0.764,106.01,2.804116667
Molly Girl,Ness The Kid,144471,17/7/20,39,0.405,0.722,5,-6.502,0,0.0865,0.0365,0,0.109,0.351,99.949,2.40785
Want It (VIP),Kumarion,259534,16/10/20,24,0.292,0.896,10,-3.522,0,0.286,0.00579,0.174,0.776,0.174,172.004,4.325566667
I Like Him,Princess Nokia,132453,26/2/20,71,0.7,0.579,9,-8.995,1,0.113,0.0641,0.000121,0.215,0.611,133.018,2.20755
"My Neck, My Back (Lick It) - BENZI & BLVD. Remix",Khia,199255,21/8/20,40,0.36,0.935,9,-3.664,1,0.138,0.0141,2.37E-06,0.634,0.726,116.973,3.320916667
Everything's Chrome,King Critical,178793,28/8/20,31,0.368,0.596,7,-6.599,1,0.375,0.0702,0,0.279,0.682,140.006,2.979883333
#WIPEITDOWN,BMW KENNY,99428,27/4/20,49,0.514,0.632,10,-7.484,0,0.404,0.0427,0.00485,0.103,0.531,140.125,1.657133333
Made It Bigger,Senior,181500,30/9/20,31,0.326,0.409,7,-10.408,1,0.0668,0.522,0,0.0972,0.32,120.022,3.025
Lights On,Landstrip Chip,172591,16/10/20,43,0.41,0.466,6,-8.062,1,0.0584,0.147,0,0.11,0.122,95.983,2.876516667
Purple (feat. Polo G & Deno),Charlie Sloth,192200,6/8/20,50,0.592,0.813,5,-5.514,1,0.0491,0.0284,0,0.412,0.437,124.987,3.203333333
Could Have Said,OpenSoul,160029,1/1/21,25,0.177,0.33,0,-14.211,1,0.209,0.0429,0,0.074,0.0592,81.306,2.66715
Hustle & Flow,ZaeHD & CEO,92917,25/12/19,47,0.401,0.547,4,-9.07,0,0.325,0.00343,4.09E-05,0.0988,0.513,149.845,1.548616667
Die on the Dancefloor,Dror,177692,23/7/20,6,0.102,0.647,6,-7.673,0,0.0404,0.0132,0,0.069,0.944,104.016,2.961533333
They Call Me Tiago (Her Name Is Margo),Tiagz,154455,27/2/20,65,0.742,0.578,0,-7.581,1,0.0722,0.196,0.433,0.0965,0.148,100.996,2.57425
Mad at Me,Freshie,180835,23/11/20,21,0.29,0.588,6,-9.227,1,0.435,0.00265,0,0.101,0.426,146.093,3.013916667
FlatBed Freestyle,Playboi Carti,193973,11/5/18,69,0.773,0.552,9,-5.604,1,0.288,0.0967,0,0.158,0.402,153.157,3.232883333
Chit Chat,Jay Hoodie,127376,8/5/20,16,0.121,0.396,8,-12.532,1,0.0491,0.627,0,0.0451,0.694,131.93,2.122933333
LEAD THE RACE (UNDEFEATED),Comethazine,111192,27/3/20,58,0.542,0.544,6,-9.87,1,0.206,0.00296,0,0.3,0.578,129.936,1.8532
Oldest Teenager,Lexi Jayde,196315,24/7/20,50,0.583,0.494,1,-12.599,1,0.029,0.272,0.00284,0.151,0.729,113.981,3.271916667
All My Heroes - Radio Edit,Naeleck,228433,31/7/20,63,0.619,0.668,11,-4.515,1,0.0308,0.287,0.0104,0.0974,0.212,82.975,3.807216667
Blinding Lights,The Weeknd,201573,29/11/19,28,0.293,0.796,1,-4.075,1,0.0629,0.00147,0.000209,0.0938,0.345,171.017,3.35955
Woah (feat. D3Mstreet),KRYPTO9095,123373,29/3/19,61,0.571,0.522,1,-8.936,1,0.43,0.00739,0,0.0452,0.623,144.011,2.056216667
Laxed – Siren Beat,Jawsh 685,201990,24/4/20,62,0.582,0.62,0,-8.481,0,0.11,0.0577,0.692,0.318,0.959,150.026,3.3665
Skechers,DripReport,106031,12/1/20,1,-0.081,0.332,1,-9.828,1,0.0836,0.326,0.0168,0.109,0.277,99.998,1.767183333
91,Lil Sil,115511,24/1/20,57,0.669,0.537,2,-8.628,1,0.065,0.155,0,0.13,0.481,100.028,1.925183333
School Girl,Bankrol Hayden,115182,26/6/20,50,0.408,0.555,11,-7.8,1,0.0764,0.791,0,0.105,0.398,74.697,1.9197
Cocaine,Deestroying,123141,20/11/20,28,0.186,0.622,1,-6.714,1,0.035,0.00243,0,0.0972,0.455,155.966,2.05235
TikTok Shawty,Karri,158276,6/11/20,53,0.571,0.621,8,-7.314,1,0.307,0.207,0,0.02,0.496,106.568,2.637933333
LMK,Lil Xxel,188292,6/3/20,1,0.021,0.457,6,-7.515,1,0.0464,0.0298,0.000322,0.446,0.448,123.03,3.1382
Love Songs - Bonus,Kaash Paige,148640,15/11/19,72,0.771,0.355,5,-10.599,1,0.0906,0.831,0.000855,0.11,0.453,120.032,2.477333333
Toast to the Life,Apontay,257846,7/8/20,16,0.157,0.739,1,-5.853,1,0.342,0.181,0,0.131,0.714,166.595,4.297433333
BEST ON EARTH (feat. BIA) - Bonus,Russ,160720,31/1/20,72,0.67,0.748,5,-3.512,0,0.078,0.188,0,0.093,0.597,90.006,2.678666667
death bed (coffee for your head),Powfu,173333,8/2/20,87,0.899,0.431,8,-8.765,0,0.135,0.731,0,0.696,0.348,144.026,2.888883333
Scarred Hearts at War,OpenSoul,201931,3/4/20,25,0.28,0.526,1,-8.876,0,0.0949,0.157,1.98E-05,0.143,0.0755,101.157,3.365516667
Can't Hold Back,J!mmy,178887,25/9/20,4,0.038,0.667,2,-9.312,1,0.173,0.0045,0.00207,0.114,0.283,129.947,2.98145
Poverty,Brandon ThaKidd,213575,23/11/20,52,0.496,0.826,1,-2.15,0,0.0756,0.0418,0,0.156,0.638,126.011,3.559583333
Picture I Paint,Badda TD,168724,23/6/19,62,0.554,0.592,1,-8.709,1,0.332,0.116,0,0.11,0.691,148.158,2.812066667
"...And To Those I Love, Thanks For Sticking Around",$uicideboy$,168489,14/2/20,37,0.302,0.512,2,-6.875,1,0.0408,0.13,8.82E-05,0.14,0.11,113.978,2.80815
Silence,Dyllón Burnside,214736,17/7/20,15,0.094,0.669,7,-6.108,0,0.13,0.0662,2.33E-06,0.0963,0.499,95.022,3.578933333
Jugg,KillBunk,145528,23/11/20,51,0.6,0.656,4,-10.049,0,0.0643,0.0186,0,0.14,0.0409,132.064,2.425466667
Earth,ETHN ASHR,154400,8/9/20,27,0.203,0.466,7,-9.956,1,0.291,0.893,0.000198,0.12,0.53,150.049,2.573333333
Chicken N Grits,Yung Pooda,153014,27/11/20,40,0.442,0.516,8,-6.89,1,0.419,0.149,0,0.092,0.575,140.036,2.550233333
Blueberry Faygo,Lil Mosey,162546,7/2/20,81,0.788,0.554,0,-7.909,1,0.0383,0.207,0,0.132,0.349,99.034,2.7091
Lottery (Renegade),K CAMP,170946,1/4/19,51,0.448,0.556,1,-8.601,1,0.216,0.0145,0.000179,0.0733,0.67,148.964,2.8491
Savage,Megan Thee Stallion,155497,6/3/20,77,0.857,0.741,11,-5.609,1,0.334,0.0252,0,0.096,0.68,168.983,2.591616667
Roses - Imanbek Remix,SAINt JHN,176840,9/10/19,86,0.841,0.724,8,-5.484,1,0.0495,0.0167,0.0107,0.353,0.898,121.975,2.947333333
James Harden,CashMoneyAp,117511,13/11/20,28,0.362,0.528,1,-5.551,1,0.188,0.00213,0.0472,0.142,0.592,147.051,1.958516667
Trust,Brent Faiyaz,158420,19/10/18,78,0.748,0.394,8,-8.559,1,0.154,0.224,8.71E-05,0.119,0.471,92.011,2.640333333
Holding Feelings,Nakala,217846,30/6/20,27,0.281,0.547,5,-5.832,1,0.0601,0.227,0.000185,0.0865,0.188,129.731,3.630766667
nursery,bbno$,146285,25/1/19,66,0.712,0.553,5,-8.053,1,0.152,0.403,0.00115,0.0663,0.83,104.98,2.438083333
Snake,Lil Keed,183306,14/6/19,70,0.755,0.443,7,-10.098,0,0.138,0.188,0.00225,0.282,0.621,109.908,3.0551
The Box,Roddy Ricch,196652,6/12/19,86,0.931,0.586,10,-6.687,0,0.0559,0.104,0,0.79,0.642,116.971,3.277533333
All Dat (with Megan Thee Stallion),Moneybagg Yo,143957,10/1/20,62,0.596,0.772,2,-3.904,1,0.27,0.00534,0,0.237,0.414,120.047,2.399283333
1426,Jay Hoodie,225624,8/5/20,10,0.056,0.15,11,-18.242,0,0.0449,0.952,0.00142,0.116,0.341,119.945,3.7604
Sound Good,Yung Yung Pallo,192614,4/7/17,5,0.14,0.527,2,-7.599,1,0.23,0.316,1.92E-06,0.163,0.0728,129.752,3.210233333
BRB,Luh Kel,158086,15/11/19,62,0.567,0.602,7,-5.964,0,0.0681,0.155,0,0.122,0.714,110.005,2.634766667
Break My Heart,Dua Lipa,221820,27/3/20,82,0.785,0.729,4,-3.434,0,0.0883,0.167,1.39E-06,0.349,0.467,113.013,3.697
GIRL LIKE ME,Black Eyed Peas,222522,2/11/20,86,0.843,0.485,2,-8.784,1,0.191,0.0206,0.0237,0.0655,0.312,124.025,3.7087
Boss Bitch,Doja Cat,134239,23/1/20,83,0.755,0.955,10,-4.593,0,0.222,0.127,0,0.202,0.575,125.989,2.237316667
Red Rover,Benzi,186320,24/7/20,17,0.183,0.811,4,-1.934,0,0.129,0.29,2.99E-06,0.0912,0.506,101.678,3.105333333
Take Your Man,Mahogany Lox,117362,18/10/19,61,0.517,0.658,0,-8.052,1,0.108,0.411,0.000738,0.0809,0.344,110.015,1.956033333
Let's Do It Again,J Boog,192177,27/9/11,70,0.661,0.696,0,-5.631,0,0.211,0.578,0,0.0784,0.927,173.537,3.20295
ROXANNE,Arizona Zervas,163636,10/10/19,4,-0.004,0.601,6,-5.616,0,0.148,0.0522,0,0.46,0.457,116.735,2.727266667
Feel Like Guwop,OLA RUNT,256634,28/5/20,30,0.271,0.461,0,-6.622,1,0.323,0.00363,0,0.0991,0.683,136.006,4.277233333
Boys Ain't Shit,SAYGRACE,175883,18/10/19,71,0.69,0.615,1,-4.729,0,0.137,0.435,0.00631,0.334,0.841,102.999,2.931383333
Romantic (feat. Toosii),SGE Kash,177230,19/11/20,26,0.306,0.428,11,-11.754,1,0.388,0.0517,2.30E-06,0.152,0.316,129.966,2.953833333
Hot Girl,Megan Thee Stallion,196281,21/12/18,66,0.703,0.637,10,-5.432,0,0.313,0.000278,0,0.251,0.374,185.904,3.27135
Gordon Ramsay,HL Wave,141150,25/10/19,51,0.578,0.732,10,-7.133,0,0.343,0.0207,0,0.199,0.808,74.984,2.3525
Wrong,Luh Kel,130876,15/11/19,71,0.807,0.728,0,-3.39,1,0.0423,0.352,0,0.228,0.39,120.099,2.181266667
BLACKOUT,Lil Kapow,83131,20/9/19,62,0.632,0.298,1,-13.879,1,0.695,0.0566,1.10E-05,0.132,0.486,150.036,1.385516667
ily (i love you baby) (feat. Emilee),Surf Mesa,176546,26/11/19,84,0.937,0.774,11,-7.567,0,0.0892,0.0686,0.00188,0.393,0.33,112.05,2.942433333
CITY OF ANGELS,24kGoldn,112493,22/11/19,77,0.779,0.541,0,-4.993,0,0.0493,0.042,0,0.0675,0.724,120.082,1.874883333
Ayy Macarena,Tyga,131606,13/11/19,75,0.689,0.629,2,-5.568,1,0.226,0.133,0,0.0692,0.714,96.493,2.193433333
Addison Rae,The Kid LAROI,163573,22/3/20,68,0.61,0.49,5,-9.099,0,0.129,0.0155,0,0.109,0.397,135.015,2.726216667
Cyber Sex,Doja Cat,165733,7/11/19,74,0.783,0.657,8,-5.716,1,0.0921,0.318,3.62E-06,0.0754,0.818,131.03,2.762216667
VALENTINO,24kGoldn,179133,22/11/19,76,0.839,0.717,9,-4.841,0,0.179,0.199,0,0.132,0.523,150.964,2.98555
Opaul,Freddie Dredd,140487,26/4/18,62,0.549,0.884,1,-4.146,1,0.213,0.00555,0.498,0.0983,0.638,145.031,2.34145
I'm Ready,Nakala,193000,10/7/20,22,0.171,0.396,7,-11.373,1,0.191,0.203,4.51E-06,0.117,0.371,119.992,3.216666667
Wake you up (Scream),Gritty Lex,289227,25/9/20,6,0.011,0.408,7,-14.24,0,0.223,0.291,0.00213,0.0699,0.497,165.983,4.82045
Buff Baby,tobi lou,215384,27/4/18,66,0.67,0.765,5,-6.047,1,0.0571,0.243,0,0.101,0.512,156.04,3.589733333
fast,Sueco,144000,20/9/19,69,0.69,0.599,7,-7.814,0,0.217,0.182,0.00855,0.102,0.527,100.026,2.4
who dat boi,bbno$,131162,21/11/17,53,0.485,0.518,1,-8.809,1,0.316,0.148,5.45E-05,0.666,0.819,86.141,2.186033333
I'm Sicc,Cuuhraig,125230,26/11/19,30,0.212,0.635,3,-8.277,0,0.243,0.163,0,0.106,0.722,123.004,2.087166667
Juicy,Doja Cat,203093,7/11/19,74,0.797,0.652,0,-2.607,1,0.0669,0.102,0,0.0697,0.483,170.031,3.384883333
My Type,Saweetie,126446,29/3/19,74,0.708,0.811,2,-6.294,1,0.258,0.000677,0,0.0672,0.587,105.038,2.107433333
ok boomer (feat. Jed Will),Peter Kuli,132923,18/11/19,43,0.463,0.518,1,-2.317,1,0.416,0.092,0,0.071,0.594,129.896,2.215383333
hot girl bummer,blackbear,185093,23/8/19,12,0.157,0.559,6,-7.109,0,0.0776,0.128,0,0.399,0.678,129.989,3.084883333
SUGAR,BROCKHAMPTON,204533,23/8/19,78,0.696,0.538,1,-8.212,1,0.0638,0.449,0,0.19,0.516,122.973,3.408883333
My Oh My (feat. DaBaby),Camila Cabello,170746,6/12/19,79,0.778,0.491,8,-6.024,1,0.0296,0.018,1.29E-05,0.0887,0.383,105.046,2.845766667
Candy,Doja Cat,190920,30/3/18,72,0.664,0.516,8,-5.857,1,0.0444,0.513,0,0.163,0.209,124.876,3.182
Pull Up,Luh Kel,123399,15/11/19,65,0.672,0.569,1,-6.366,1,0.0705,0.0957,0,0.0976,0.26,95.009,2.05665
BOP,DaBaby,159714,27/9/19,83,0.896,0.787,11,-3.909,1,0.367,0.189,0,0.129,0.836,126.77,2.6619
When I'm Sober,Jay Hoodie,123336,29/8/19,10,0.055,0.615,5,-9.281,0,0.322,0.505,0,0.32,0.464,129.908,2.0556
ZEZE (feat. Travis Scott & Offset),Kodak Black,228759,14/12/18,79,0.827,0.603,8,-5.788,0,0.176,0.0521,0,0.0924,0.504,98.043,3.81265
Stacked Up,Ness The Kid,153254,6/9/19,17,0.261,0.655,2,-8.84,1,0.133,0.0635,2.61E-06,0.152,0.656,101.903,2.554233333
Hey Julie! (feat. Lil Yachty),KYLE,156637,23/8/19,62,0.656,0.499,11,-5.932,1,0.306,0.0363,3.46E-06,0.129,0.749,161.042,2.610616667
Out Of Love (feat. Internet Money),Lil Tecca,153597,17/4/20,13,0.128,0.654,7,-6.136,0,0.045,0.102,0,0.215,0.369,138.049,2.55995
sunshine,Mauria,174117,4/9/20,12,0.022,0.341,1,-14.151,0,0.104,0.0663,0,0.304,0.375,101.844,2.90195
Mexico,LA Rodriguez,178000,28/8/20,7,0.046,0.523,8,-13.29,1,0.123,0.689,0.0414,0.112,0.204,134.019,2.966666667
Boom Diggy (Black Girl Magic),Eritza,207272,4/9/20,19,0.269,0.923,9,-4.121,0,0.109,0.129,0,0.0738,0.83,110.005,3.454533333
Flexgang,J Swey,169404,11/5/18,50,0.494,0.805,4,-5.376,1,0.288,0.258,0,0.241,0.373,107.025,2.8234
Losing Blood,PmBata,164661,20/11/20,51,0.535,0.601,7,-7.625,1,0.159,0.224,0,0.102,0.663,84.954,2.74435
I Got a Feeling,J Swey,133229,20/11/20,30,0.224,0.533,1,-8.145,0,0.153,0.249,0,0.0751,0.349,119.969,2.220483333
Everyday,Mathias.,184615,23/11/20,34,0.339,0.642,5,-11.667,1,0.0694,0.0334,0,0.113,0.267,155.994,3.076916667
Don't Slip,Will Ryte,173133,15/8/19,38,0.328,0.458,5,-8.458,0,0.0694,0.103,0.256,0.104,0.31,100.008,2.88555
Meet Up,Young Tone,194840,2/1/20,36,0.407,0.721,4,-6.702,0,0.0486,0.105,0.000391,0.161,0.275,89.979,3.247333333
Die Lit,Jay Hoodie,128853,8/1/21,46,0.382,0.415,1,-12.342,0,0.265,0.348,0,0.323,0.603,144.978,2.14755
Party With The 6ixers,TOD,164000,25/12/20,22,0.312,0.268,0,-13.968,0,0.186,0.729,0.000514,0.0858,0.609,139.997,2.733333333
2 Cases,Top5,125746,12/1/21,44,0.468,0.7,11,-5.61,1,0.217,0.218,0,0.123,0.6,129.854,2.095766667
TTB,Danny Aro,158431,19/2/21,18,0.28,0.823,1,-2.744,0,0.267,0.207,0,0.356,0.74,84.925,2.640516667
Something To Prove,Brandon ThaKidd,142861,26/2/21,30,0.331,0.452,8,-12.461,0,0.388,0.0187,0,0.177,0.508,120.934,2.381016667
No Time,xotrapp,112056,5/3/21,34,0.296,0.688,6,-7.916,0,0.0316,0.0313,0,0.234,0.224,89.978,1.8676
Solar System,Dustystaytrue,154225,25/3/21,57,0.556,0.729,11,-5.004,0,0.208,0.335,0,0.114,0.63,150.112,2.570416667
All I Need,Fendii AP,142040,12/2/21,37,0.447,0.572,1,-8.137,1,0.172,0.0428,0.198,0.0831,0.503,195.909,2.367333333
good 4 u,Olivia Rodrigo,178147,14/5/21,96,0.898,0.661,6,-5.052,0,0.204,0.3,0,0.101,0.668,168.56,2.969116667
Venom,Little Simz,154749,1/3/19,77,0.802,0.655,7,-8.153,1,0.159,0.425,0,0.393,0.523,139.712,2.57915
seaside_demo,SEB,132000,17/5/21,72,0.744,0.824,0,-7.959,1,0.0694,0.355,0.000133,0.111,0.86,94.98,2.2
Freaks,Surf Curse,147036,10/5/15,85,0.912,0.944,9,-9.874,1,0.0485,4.16E-05,0.565,0.0546,0.403,179.63,2.4506
Never Forget You,Noisettes,192213,1/1/09,74,0.783,0.692,9,-4.683,1,0.0323,0.0167,3.78E-05,0.126,0.737,141.632,3.20355
MONTERO (Call Me By Your Name),Lil Nas X,137875,26/3/21,81,0.789,0.508,8,-6.682,0,0.152,0.297,0,0.384,0.758,178.818,2.297916667
Castaways,The Backyardigans,87706,12/7/05,76,0.692,0.211,5,-17.646,1,0.409,0.784,8.65E-06,0.11,0.307,81.253,1.461766667
"More Than A Woman - From ""Saturday Night Fever"" Soundtrack",Bee Gees,196213,20/11/20,79,0.839,0.703,7,-6.24,1,0.0379,0.175,8.40E-05,0.571,0.673,106.164,3.270216667
Sure Thing,Miguel,195373,26/11/10,81,0.826,0.607,11,-8.127,0,0.1,0.0267,0.000307,0.191,0.498,81.001,3.256216667
Passionfruit,Drake,298940,18/3/17,83,0.895,0.463,11,-11.377,1,0.0396,0.256,0.085,0.109,0.364,111.98,4.982333333
Yucky Blucky Fruitcake,Iamdoechii,275520,27/11/20,77,0.713,0.617,8,-7.482,0,0.282,0.463,0,0.66,0.889,97.923,4.592
deja vu,Olivia Rodrigo,215507,1/4/21,95,0.986,0.61,9,-7.236,1,0.116,0.593,1.07E-05,0.341,0.172,181.088,3.591783333
Wockesha,Moneybagg Yo,180930,23/4/21,78,0.88,0.537,0,-9.229,1,0.619,0.129,0,0.0749,0.771,82.103,3.0155
Jalebi Baby,Tesher,189375,13/11/20,79,0.718,0.895,2,-7.144,1,0.0378,0.0156,0.000374,0.145,0.824,93.037,3.15625
WHOLE LOTTA MONEY,BIA,156005,11/12/20,80,0.737,0.371,1,-5.019,1,0.368,0.0904,0,0.325,0.441,81.008,2.600083333
Another Love,Tom Odell,244360,24/6/13,86,0.888,0.537,4,-8.532,0,0.04,0.695,1.65E-05,0.0944,0.131,122.769,4.072666667
Miss The Rage (feat. Playboi Carti),Trippie Redd,236883,7/5/21,88,0.943,0.859,8,-5.616,1,0.121,0.0144,0,0.847,0.369,77.005,3.94805
FUCKBOY,Dixie,190346,14/5/21,76,0.686,0.475,8,-7.226,1,0.0443,0.205,0,0.085,0.505,89.471,3.172433333
Kiat Jud Day,DjKeinth,234475,11/9/20,43,0.487,0.799,0,-6.317,1,0.0476,0.0333,0.108,0.0927,0.378,127.994,3.907916667
Se Acabó la Cuarentena,Jowell & Randy,166971,6/8/20,70,0.64,0.605,6,-4.311,1,0.109,0.00127,0.0167,0.0767,0.646,122.052,2.78285
Angelina,Lou Bega,197093,2001,43,0.443,0.845,0,-6.404,1,0.0381,0.057,1.11E-06,0.0568,0.967,124.967,3.284883333
Whiskey / Whisky Cola - Remix,Eduardo Luzquiños,197942,31/1/21,31,0.279,0.863,9,-5.44,1,0.0647,0.532,0.0112,0.0415,0.69,108.978,3.299033333
Ay Rico Rico Rico - Tik Tok Mix,Dj πrata,72055,11/2/21,52,0.434,0.867,2,-4.814,1,0.15,0.167,0.00467,0.064,0.861,115.508,1.200916667
Kimi No Toriko,Rizky Ayuba,132923,3/5/20,60,0.673,0.941,0,-3.076,1,0.0508,0.165,0.0392,0.163,0.988,131.991,2.215383333
Pamparampampa tiktok (Pajama party),Dj Douyin Remix,174023,26/1/21,45,0.389,0.658,1,-8.675,1,0.14,0.217,9.63E-06,0.3,0.892,92.409,2.900383333
Gasolina,Daddy Yankee,192600,13/7/04,77,0.824,0.801,0,-6.499,1,0.0618,0.332,1.20E-06,0.0789,0.753,96.009,3.21
Tahong Ni Karla,DJ Red Core,280346,14/3/18,43,0.523,0.966,1,-0.122,1,0.0414,0.0268,0.0094,0.0892,0.965,139.976,4.672433333
Gugmang Ga Aso-Aso,DJ Rowel,223047,9/10/20,44,0.425,0.677,11,-9.6,1,0.0641,0.00716,0.000501,0.122,0.801,139.93,3.71745
Skiri Lekong,Coco Lense,228066,6/3/21,47,0.53,0.934,0,-1.348,1,0.0345,0.124,0.000646,0.576,0.963,133.018,3.8011
"My Banyo Queen (ah-ah, umh-umh) featuring: Rica Peralejo",Andrew E.,350853,6/1/02,49,0.486,0.749,2,-7.482,1,0.0555,0.00914,0.00124,0.0474,0.973,115.195,5.84755
Magandang Dilag,JM Bales,237818,20/11/20,64,0.726,0.458,6,-12.568,0,0.0463,0.07,0,0.387,0.748,110.014,3.963633333
Kikay,Viva Hot Babes,230506,25/1/05,36,0.292,0.977,0,-7.086,0,0.133,0.0899,0,0.481,0.655,144.928,3.841766667
Shoot-Shoot,Andrew E.,318960,1/12/04,53,0.471,0.613,10,-9.185,1,0.0389,0.0721,0,0.0706,0.965,119.01,5.316
Senorita,DJ Noiz,183954,10/7/17,1,-0.061,0.737,6,-7.777,1,0.0317,0.267,0,0.428,0.926,105.053,3.0659
